[2025-01-23 18:03:49,966][       train.py][line:  74][    INFO] config: Namespace(config_path='config/brainmri.yaml', k_shot=16, config={'version': 'v1.0.0', 'random_seed': 100, 'data_root': 'data', 'train_dataset': 'brainmri', 'test_datasets': ['brainmri'], 'epoch': 200, 'batch_size': 8, 'print_freq_step': 10, 'val_freq_epoch': 1, 'image_size': 224, 'model_name': 'RN50', 'layers_out': [1, 2, 3, 4], 'anomaly_tasks': {'CutpasteTask': 0.25, 'GaussIntensityChangeTask': 0.25, 'SourceTask': 0.25, 'IdentityTask': 0.25}, 'prompt_maker': 'coop', 'n_learnable_token': 8, 'CSC': True, 'class_token_positions': ['end'], 'save_root': 'results/2025_01_23_18_03_49', 'prompts': {'normal': ['normal', 'healthy', 'negative', 'unremarkable', 'clear', 'asymptomatic', 'normal findings', 'no findings', 'in good health', 'no evidence of disease'], 'abnormal': ['abnormal', 'positive', 'symptomatic', 'disease', 'lesion', 'pathological', 'impaired', 'evidence of disease', 'abnormal finding', 'pathological condition', 'pathological abnormality']}, 'model_cfg': {'embed_dim': 1024, 'vision_cfg': {'image_size': 224, 'layers': [3, 4, 6, 3], 'width': 64, 'patch_size': None}, 'text_cfg': {'context_length': 77, 'vocab_size': 49408, 'width': 512, 'heads': 8, 'layers': 12}}})
[2025-01-23 18:03:49,995][       train.py][line:  81][    INFO] load CoOp
[2025-01-23 18:03:50,121][       train.py][line: 138][    INFO] train data (brainmri) len 16
[2025-01-23 18:04:52,310][       train.py][line: 193][    INFO] (brainmri): Epoch: 6, image auroc: 0.7141,
[2025-01-23 18:04:52,310][       train.py][line: 208][    INFO] (brainmri best): image auroc: 0.7351,
[2025-01-23 18:05:02,500][       train.py][line: 193][    INFO] (brainmri): Epoch: 7, image auroc: 0.7588,
[2025-01-23 18:05:02,500][       train.py][line: 208][    INFO] (brainmri best): image auroc: 0.7588,
[2025-01-23 18:05:02,500][       train.py][line: 215][    INFO] save checkpoints in epoch: 7
[2025-01-23 18:05:12,935][       train.py][line: 193][    INFO] (brainmri): Epoch: 8, image auroc: 0.7702,
[2025-01-23 18:05:12,935][       train.py][line: 208][    INFO] (brainmri best): image auroc: 0.7702,
[2025-01-23 18:05:12,935][       train.py][line: 215][    INFO] save checkpoints in epoch: 8
[2025-01-23 18:05:23,159][       train.py][line: 193][    INFO] (brainmri): Epoch: 9, image auroc: 0.7674,
[2025-01-23 18:05:23,159][       train.py][line: 208][    INFO] (brainmri best): image auroc: 0.7702,
[2025-01-23 18:05:28,329][       train.py][line: 271][    INFO] Epoch: [10/200]	Iter: [20/400]	Loss 0.87068 (0.88740)	
[2025-01-23 18:05:33,385][       train.py][line: 193][    INFO] (brainmri): Epoch: 10, image auroc: 0.7674,
[2025-01-23 18:05:33,386][       train.py][line: 208][    INFO] (brainmri best): image auroc: 0.7702,
[2025-01-23 18:05:43,648][       train.py][line: 193][    INFO] (brainmri): Epoch: 11, image auroc: 0.8400,
[2025-01-23 18:05:43,649][       train.py][line: 208][    INFO] (brainmri best): image auroc: 0.8400,
[2025-01-23 18:05:43,649][       train.py][line: 215][    INFO] save checkpoints in epoch: 11
[2025-01-23 18:05:53,968][       train.py][line: 193][    INFO] (brainmri): Epoch: 12, image auroc: 0.8034,
[2025-01-23 18:05:53,968][       train.py][line: 208][    INFO] (brainmri best): image auroc: 0.8400,
[2025-01-23 18:06:04,263][       train.py][line: 193][    INFO] (brainmri): Epoch: 13, image auroc: 0.8351,
[2025-01-23 18:06:04,263][       train.py][line: 208][    INFO] (brainmri best): image auroc: 0.8400,
[2025-01-23 18:06:14,448][       train.py][line: 193][    INFO] (brainmri): Epoch: 14, image auroc: 0.8112,
[2025-01-23 18:06:14,448][       train.py][line: 208][    INFO] (brainmri best): image auroc: 0.8400,
[2025-01-23 18:06:19,707][       train.py][line: 271][    INFO] Epoch: [15/200]	Iter: [30/400]	Loss 0.84323 (0.83903)	
[2025-01-23 18:06:24,875][       train.py][line: 193][    INFO] (brainmri): Epoch: 15, image auroc: 0.8208,
[2025-01-23 18:06:24,876][       train.py][line: 208][    INFO] (brainmri best): image auroc: 0.8400,
[2025-01-23 18:06:35,178][       train.py][line: 193][    INFO] (brainmri): Epoch: 16, image auroc: 0.8035,
[2025-01-23 18:06:35,179][       train.py][line: 208][    INFO] (brainmri best): image auroc: 0.8400,
[2025-01-23 18:06:45,422][       train.py][line: 193][    INFO] (brainmri): Epoch: 17, image auroc: 0.7909,
[2025-01-23 18:06:45,422][       train.py][line: 208][    INFO] (brainmri best): image auroc: 0.8400,
[2025-01-23 18:06:55,715][       train.py][line: 193][    INFO] (brainmri): Epoch: 18, image auroc: 0.7874,
[2025-01-23 18:06:55,716][       train.py][line: 208][    INFO] (brainmri best): image auroc: 0.8400,
[2025-01-23 18:07:06,121][       train.py][line: 193][    INFO] (brainmri): Epoch: 19, image auroc: 0.7957,
[2025-01-23 18:07:06,121][       train.py][line: 208][    INFO] (brainmri best): image auroc: 0.8400,
[2025-01-23 18:07:11,361][       train.py][line: 271][    INFO] Epoch: [20/200]	Iter: [40/400]	Loss 0.84428 (0.84913)	
[2025-01-23 18:07:16,507][       train.py][line: 193][    INFO] (brainmri): Epoch: 20, image auroc: 0.7772,
[2025-01-23 18:07:16,507][       train.py][line: 208][    INFO] (brainmri best): image auroc: 0.8400,
[2025-01-23 18:07:26,790][       train.py][line: 193][    INFO] (brainmri): Epoch: 21, image auroc: 0.7451,
[2025-01-23 18:07:26,790][       train.py][line: 208][    INFO] (brainmri best): image auroc: 0.8400,
[2025-01-23 18:07:37,112][       train.py][line: 193][    INFO] (brainmri): Epoch: 22, image auroc: 0.7377,
[2025-01-23 18:07:37,112][       train.py][line: 208][    INFO] (brainmri best): image auroc: 0.8400,
[2025-01-23 18:07:47,275][       train.py][line: 193][    INFO] (brainmri): Epoch: 23, image auroc: 0.7698,
[2025-01-23 18:07:47,275][       train.py][line: 208][    INFO] (brainmri best): image auroc: 0.8400,
[2025-01-23 18:07:57,699][       train.py][line: 193][    INFO] (brainmri): Epoch: 24, image auroc: 0.8071,
[2025-01-23 18:07:57,699][       train.py][line: 208][    INFO] (brainmri best): image auroc: 0.8400,
[2025-01-23 18:08:02,876][       train.py][line: 271][    INFO] Epoch: [25/200]	Iter: [50/400]	Loss 0.86391 (0.84497)	
[2025-01-23 18:08:08,115][       train.py][line: 193][    INFO] (brainmri): Epoch: 25, image auroc: 0.8067,
[2025-01-23 18:08:08,115][       train.py][line: 208][    INFO] (brainmri best): image auroc: 0.8400,
[2025-01-23 18:08:18,292][       train.py][line: 193][    INFO] (brainmri): Epoch: 26, image auroc: 0.7815,
[2025-01-23 18:08:18,292][       train.py][line: 208][    INFO] (brainmri best): image auroc: 0.8400,
[2025-01-23 18:08:28,594][       train.py][line: 193][    INFO] (brainmri): Epoch: 27, image auroc: 0.7693,
[2025-01-23 18:08:28,594][       train.py][line: 208][    INFO] (brainmri best): image auroc: 0.8400,
[2025-01-23 18:08:38,893][       train.py][line: 193][    INFO] (brainmri): Epoch: 28, image auroc: 0.7776,
[2025-01-23 18:08:38,893][       train.py][line: 208][    INFO] (brainmri best): image auroc: 0.8400,
[2025-01-23 18:08:49,170][       train.py][line: 193][    INFO] (brainmri): Epoch: 29, image auroc: 0.7698,
[2025-01-23 18:08:49,170][       train.py][line: 208][    INFO] (brainmri best): image auroc: 0.8400,
[2025-01-23 18:08:54,325][       train.py][line: 271][    INFO] Epoch: [30/200]	Iter: [60/400]	Loss 0.87429 (0.83318)	
[2025-01-23 18:08:59,394][       train.py][line: 193][    INFO] (brainmri): Epoch: 30, image auroc: 0.7692,
[2025-01-23 18:08:59,394][       train.py][line: 208][    INFO] (brainmri best): image auroc: 0.8400,
[2025-01-23 18:09:09,636][       train.py][line: 193][    INFO] (brainmri): Epoch: 31, image auroc: 0.7703,
[2025-01-23 18:09:09,637][       train.py][line: 208][    INFO] (brainmri best): image auroc: 0.8400,
[2025-01-23 18:09:20,011][       train.py][line: 193][    INFO] (brainmri): Epoch: 32, image auroc: 0.7443,
[2025-01-23 18:09:20,011][       train.py][line: 208][    INFO] (brainmri best): image auroc: 0.8400,
[2025-01-23 18:09:30,374][       train.py][line: 193][    INFO] (brainmri): Epoch: 33, image auroc: 0.7558,
[2025-01-23 18:09:30,375][       train.py][line: 208][    INFO] (brainmri best): image auroc: 0.8400,
[2025-01-23 18:09:40,747][       train.py][line: 193][    INFO] (brainmri): Epoch: 34, image auroc: 0.7869,
[2025-01-23 18:09:40,748][       train.py][line: 208][    INFO] (brainmri best): image auroc: 0.8400,
[2025-01-23 18:09:45,943][       train.py][line: 271][    INFO] Epoch: [35/200]	Iter: [70/400]	Loss 0.87543 (0.81146)	
[2025-01-23 18:09:51,157][       train.py][line: 193][    INFO] (brainmri): Epoch: 35, image auroc: 0.8136,
[2025-01-23 18:09:51,158][       train.py][line: 208][    INFO] (brainmri best): image auroc: 0.8400,
[2025-01-23 18:10:01,352][       train.py][line: 193][    INFO] (brainmri): Epoch: 36, image auroc: 0.8389,
[2025-01-23 18:10:01,353][       train.py][line: 208][    INFO] (brainmri best): image auroc: 0.8400,
[2025-01-23 18:10:11,629][       train.py][line: 193][    INFO] (brainmri): Epoch: 37, image auroc: 0.8913,
[2025-01-23 18:10:11,629][       train.py][line: 208][    INFO] (brainmri best): image auroc: 0.8913,
[2025-01-23 18:10:11,629][       train.py][line: 215][    INFO] save checkpoints in epoch: 37
[2025-01-23 18:10:21,938][       train.py][line: 193][    INFO] (brainmri): Epoch: 38, image auroc: 0.8812,
[2025-01-23 18:10:21,938][       train.py][line: 208][    INFO] (brainmri best): image auroc: 0.8913,
[2025-01-23 18:10:32,128][       train.py][line: 193][    INFO] (brainmri): Epoch: 39, image auroc: 0.8474,
[2025-01-23 18:10:32,128][       train.py][line: 208][    INFO] (brainmri best): image auroc: 0.8913,
[2025-01-23 18:10:37,230][       train.py][line: 271][    INFO] Epoch: [40/200]	Iter: [80/400]	Loss 0.85927 (0.83572)	
[2025-01-23 18:10:42,330][       train.py][line: 193][    INFO] (brainmri): Epoch: 40, image auroc: 0.8247,
[2025-01-23 18:10:42,330][       train.py][line: 208][    INFO] (brainmri best): image auroc: 0.8913,
[2025-01-23 18:10:52,594][       train.py][line: 193][    INFO] (brainmri): Epoch: 41, image auroc: 0.8174,
[2025-01-23 18:10:52,594][       train.py][line: 208][    INFO] (brainmri best): image auroc: 0.8913,
[2025-01-23 18:11:02,977][       train.py][line: 193][    INFO] (brainmri): Epoch: 42, image auroc: 0.8163,
[2025-01-23 18:11:02,977][       train.py][line: 208][    INFO] (brainmri best): image auroc: 0.8913,
[2025-01-23 18:11:13,295][       train.py][line: 193][    INFO] (brainmri): Epoch: 43, image auroc: 0.8172,
[2025-01-23 18:11:13,295][       train.py][line: 208][    INFO] (brainmri best): image auroc: 0.8913,
[2025-01-23 18:11:23,491][       train.py][line: 193][    INFO] (brainmri): Epoch: 44, image auroc: 0.8136,
[2025-01-23 18:11:23,491][       train.py][line: 208][    INFO] (brainmri best): image auroc: 0.8913,
[2025-01-23 18:11:28,616][       train.py][line: 271][    INFO] Epoch: [45/200]	Iter: [90/400]	Loss 0.84869 (0.82025)	
[2025-01-23 18:11:33,709][       train.py][line: 193][    INFO] (brainmri): Epoch: 45, image auroc: 0.8241,
[2025-01-23 18:11:33,709][       train.py][line: 208][    INFO] (brainmri best): image auroc: 0.8913,
[2025-01-23 18:11:43,866][       train.py][line: 193][    INFO] (brainmri): Epoch: 46, image auroc: 0.7930,
[2025-01-23 18:11:43,867][       train.py][line: 208][    INFO] (brainmri best): image auroc: 0.8913,
[2025-01-23 18:11:54,071][       train.py][line: 193][    INFO] (brainmri): Epoch: 47, image auroc: 0.7577,
[2025-01-23 18:11:54,072][       train.py][line: 208][    INFO] (brainmri best): image auroc: 0.8913,
[2025-01-23 18:12:04,310][       train.py][line: 193][    INFO] (brainmri): Epoch: 48, image auroc: 0.7957,
[2025-01-23 18:12:04,310][       train.py][line: 208][    INFO] (brainmri best): image auroc: 0.8913,
[2025-01-23 18:12:14,662][       train.py][line: 193][    INFO] (brainmri): Epoch: 49, image auroc: 0.8069,
[2025-01-23 18:12:14,662][       train.py][line: 208][    INFO] (brainmri best): image auroc: 0.8913,
[2025-01-23 18:12:19,816][       train.py][line: 271][    INFO] Epoch: [50/200]	Iter: [100/400]	Loss 0.78589 (0.84176)	
[2025-01-23 18:12:24,886][       train.py][line: 193][    INFO] (brainmri): Epoch: 50, image auroc: 0.7903,
[2025-01-23 18:12:24,887][       train.py][line: 208][    INFO] (brainmri best): image auroc: 0.8913,
[2025-01-23 18:12:35,203][       train.py][line: 193][    INFO] (brainmri): Epoch: 51, image auroc: 0.8004,
[2025-01-23 18:12:35,203][       train.py][line: 208][    INFO] (brainmri best): image auroc: 0.8913,
[2025-01-23 18:12:45,323][       train.py][line: 193][    INFO] (brainmri): Epoch: 52, image auroc: 0.8152,
[2025-01-23 18:12:45,323][       train.py][line: 208][    INFO] (brainmri best): image auroc: 0.8913,
[2025-01-23 18:12:55,752][       train.py][line: 193][    INFO] (brainmri): Epoch: 53, image auroc: 0.8231,
[2025-01-23 18:12:55,752][       train.py][line: 208][    INFO] (brainmri best): image auroc: 0.8913,
[2025-01-23 18:13:05,982][       train.py][line: 193][    INFO] (brainmri): Epoch: 54, image auroc: 0.8416,
[2025-01-23 18:13:05,982][       train.py][line: 208][    INFO] (brainmri best): image auroc: 0.8913,
[2025-01-23 18:13:11,190][       train.py][line: 271][    INFO] Epoch: [55/200]	Iter: [110/400]	Loss 0.68551 (0.73375)	
[2025-01-23 18:13:16,347][       train.py][line: 193][    INFO] (brainmri): Epoch: 55, image auroc: 0.7851,
[2025-01-23 18:13:16,348][       train.py][line: 208][    INFO] (brainmri best): image auroc: 0.8913,
[2025-01-23 18:13:26,774][       train.py][line: 193][    INFO] (brainmri): Epoch: 56, image auroc: 0.8232,
[2025-01-23 18:13:26,774][       train.py][line: 208][    INFO] (brainmri best): image auroc: 0.8913,
[2025-01-23 18:13:37,035][       train.py][line: 193][    INFO] (brainmri): Epoch: 57, image auroc: 0.8093,
[2025-01-23 18:13:37,036][       train.py][line: 208][    INFO] (brainmri best): image auroc: 0.8913,
[2025-01-23 18:13:47,373][       train.py][line: 193][    INFO] (brainmri): Epoch: 58, image auroc: 0.8078,
[2025-01-23 18:13:47,373][       train.py][line: 208][    INFO] (brainmri best): image auroc: 0.8913,
[2025-01-23 18:13:57,605][       train.py][line: 193][    INFO] (brainmri): Epoch: 59, image auroc: 0.8226,
[2025-01-23 18:13:57,605][       train.py][line: 208][    INFO] (brainmri best): image auroc: 0.8913,
[2025-01-23 18:14:02,736][       train.py][line: 271][    INFO] Epoch: [60/200]	Iter: [120/400]	Loss 0.87003 (0.82563)	
[2025-01-23 18:14:07,880][       train.py][line: 193][    INFO] (brainmri): Epoch: 60, image auroc: 0.8505,
[2025-01-23 18:14:07,881][       train.py][line: 208][    INFO] (brainmri best): image auroc: 0.8913,
[2025-01-23 18:14:18,204][       train.py][line: 193][    INFO] (brainmri): Epoch: 61, image auroc: 0.8212,
[2025-01-23 18:14:18,205][       train.py][line: 208][    INFO] (brainmri best): image auroc: 0.8913,
[2025-01-23 18:14:28,403][       train.py][line: 193][    INFO] (brainmri): Epoch: 62, image auroc: 0.8362,
[2025-01-23 18:14:28,403][       train.py][line: 208][    INFO] (brainmri best): image auroc: 0.8913,
[2025-01-23 18:14:38,795][       train.py][line: 193][    INFO] (brainmri): Epoch: 63, image auroc: 0.8579,
[2025-01-23 18:14:38,795][       train.py][line: 208][    INFO] (brainmri best): image auroc: 0.8913,
[2025-01-23 18:14:49,004][       train.py][line: 193][    INFO] (brainmri): Epoch: 64, image auroc: 0.8384,
[2025-01-23 18:14:49,004][       train.py][line: 208][    INFO] (brainmri best): image auroc: 0.8913,
[2025-01-23 18:14:54,190][       train.py][line: 271][    INFO] Epoch: [65/200]	Iter: [130/400]	Loss 0.82981 (0.81553)	
[2025-01-23 18:14:59,292][       train.py][line: 193][    INFO] (brainmri): Epoch: 65, image auroc: 0.8286,
[2025-01-23 18:14:59,292][       train.py][line: 208][    INFO] (brainmri best): image auroc: 0.8913,
[2025-01-23 18:15:09,667][       train.py][line: 193][    INFO] (brainmri): Epoch: 66, image auroc: 0.8236,
[2025-01-23 18:15:09,667][       train.py][line: 208][    INFO] (brainmri best): image auroc: 0.8913,
[2025-01-23 18:15:20,184][       train.py][line: 193][    INFO] (brainmri): Epoch: 67, image auroc: 0.8259,
[2025-01-23 18:15:20,184][       train.py][line: 208][    INFO] (brainmri best): image auroc: 0.8913,
[2025-01-23 18:15:30,536][       train.py][line: 193][    INFO] (brainmri): Epoch: 68, image auroc: 0.8006,
[2025-01-23 18:15:30,537][       train.py][line: 208][    INFO] (brainmri best): image auroc: 0.8913,
[2025-01-23 18:15:40,923][       train.py][line: 193][    INFO] (brainmri): Epoch: 69, image auroc: 0.7812,
[2025-01-23 18:15:40,923][       train.py][line: 208][    INFO] (brainmri best): image auroc: 0.8913,
[2025-01-23 18:15:46,219][       train.py][line: 271][    INFO] Epoch: [70/200]	Iter: [140/400]	Loss 0.83140 (0.80326)	
[2025-01-23 18:15:51,471][       train.py][line: 193][    INFO] (brainmri): Epoch: 70, image auroc: 0.7385,
[2025-01-23 18:15:51,471][       train.py][line: 208][    INFO] (brainmri best): image auroc: 0.8913,
[2025-01-23 18:16:01,809][       train.py][line: 193][    INFO] (brainmri): Epoch: 71, image auroc: 0.7856,
[2025-01-23 18:16:01,809][       train.py][line: 208][    INFO] (brainmri best): image auroc: 0.8913,
[2025-01-23 18:16:12,188][       train.py][line: 193][    INFO] (brainmri): Epoch: 72, image auroc: 0.8316,
[2025-01-23 18:16:12,188][       train.py][line: 208][    INFO] (brainmri best): image auroc: 0.8913,
[2025-01-23 18:16:22,409][       train.py][line: 193][    INFO] (brainmri): Epoch: 73, image auroc: 0.8362,
[2025-01-23 18:16:22,409][       train.py][line: 208][    INFO] (brainmri best): image auroc: 0.8913,
[2025-01-23 18:16:32,641][       train.py][line: 193][    INFO] (brainmri): Epoch: 74, image auroc: 0.8313,
[2025-01-23 18:16:32,641][       train.py][line: 208][    INFO] (brainmri best): image auroc: 0.8913,
[2025-01-23 18:16:37,894][       train.py][line: 271][    INFO] Epoch: [75/200]	Iter: [150/400]	Loss 0.85708 (0.83753)	
[2025-01-23 18:16:43,064][       train.py][line: 193][    INFO] (brainmri): Epoch: 75, image auroc: 0.8326,
[2025-01-23 18:16:43,065][       train.py][line: 208][    INFO] (brainmri best): image auroc: 0.8913,
[2025-01-23 18:16:53,611][       train.py][line: 193][    INFO] (brainmri): Epoch: 76, image auroc: 0.8443,
[2025-01-23 18:16:53,611][       train.py][line: 208][    INFO] (brainmri best): image auroc: 0.8913,
[2025-01-23 18:17:03,846][       train.py][line: 193][    INFO] (brainmri): Epoch: 77, image auroc: 0.8237,
[2025-01-23 18:17:03,847][       train.py][line: 208][    INFO] (brainmri best): image auroc: 0.8913,
[2025-01-23 18:17:14,234][       train.py][line: 193][    INFO] (brainmri): Epoch: 78, image auroc: 0.7919,
[2025-01-23 18:17:14,235][       train.py][line: 208][    INFO] (brainmri best): image auroc: 0.8913,
[2025-01-23 18:17:24,570][       train.py][line: 193][    INFO] (brainmri): Epoch: 79, image auroc: 0.8065,
[2025-01-23 18:17:24,570][       train.py][line: 208][    INFO] (brainmri best): image auroc: 0.8913,
[2025-01-23 18:17:29,793][       train.py][line: 271][    INFO] Epoch: [80/200]	Iter: [160/400]	Loss 0.79752 (0.81547)	
[2025-01-23 18:17:34,876][       train.py][line: 193][    INFO] (brainmri): Epoch: 80, image auroc: 0.7927,
[2025-01-23 18:17:34,876][       train.py][line: 208][    INFO] (brainmri best): image auroc: 0.8913,
[2025-01-23 18:17:45,219][       train.py][line: 193][    INFO] (brainmri): Epoch: 81, image auroc: 0.7890,
[2025-01-23 18:17:45,219][       train.py][line: 208][    INFO] (brainmri best): image auroc: 0.8913,
[2025-01-23 18:17:55,543][       train.py][line: 193][    INFO] (brainmri): Epoch: 82, image auroc: 0.8102,
[2025-01-23 18:17:55,544][       train.py][line: 208][    INFO] (brainmri best): image auroc: 0.8913,
[2025-01-23 18:18:06,026][       train.py][line: 193][    INFO] (brainmri): Epoch: 83, image auroc: 0.8301,
[2025-01-23 18:18:06,027][       train.py][line: 208][    INFO] (brainmri best): image auroc: 0.8913,
[2025-01-23 18:18:16,376][       train.py][line: 193][    INFO] (brainmri): Epoch: 84, image auroc: 0.8112,
[2025-01-23 18:18:16,377][       train.py][line: 208][    INFO] (brainmri best): image auroc: 0.8913,
[2025-01-23 18:18:21,628][       train.py][line: 271][    INFO] Epoch: [85/200]	Iter: [170/400]	Loss 0.78834 (0.77795)	
[2025-01-23 18:18:26,772][       train.py][line: 193][    INFO] (brainmri): Epoch: 85, image auroc: 0.8169,
[2025-01-23 18:18:26,772][       train.py][line: 208][    INFO] (brainmri best): image auroc: 0.8913,
[2025-01-23 18:18:37,080][       train.py][line: 193][    INFO] (brainmri): Epoch: 86, image auroc: 0.8219,
[2025-01-23 18:18:37,080][       train.py][line: 208][    INFO] (brainmri best): image auroc: 0.8913,
[2025-01-23 18:18:47,386][       train.py][line: 193][    INFO] (brainmri): Epoch: 87, image auroc: 0.8446,
[2025-01-23 18:18:47,386][       train.py][line: 208][    INFO] (brainmri best): image auroc: 0.8913,
[2025-01-23 18:18:57,693][       train.py][line: 193][    INFO] (brainmri): Epoch: 88, image auroc: 0.8673,
[2025-01-23 18:18:57,693][       train.py][line: 208][    INFO] (brainmri best): image auroc: 0.8913,
[2025-01-23 18:19:08,119][       train.py][line: 193][    INFO] (brainmri): Epoch: 89, image auroc: 0.8749,
[2025-01-23 18:19:08,119][       train.py][line: 208][    INFO] (brainmri best): image auroc: 0.8913,
[2025-01-23 18:19:13,337][       train.py][line: 271][    INFO] Epoch: [90/200]	Iter: [180/400]	Loss 0.77032 (0.77731)	
[2025-01-23 18:19:18,391][       train.py][line: 193][    INFO] (brainmri): Epoch: 90, image auroc: 0.8665,
[2025-01-23 18:19:18,391][       train.py][line: 208][    INFO] (brainmri best): image auroc: 0.8913,
[2025-01-23 18:19:28,853][       train.py][line: 193][    INFO] (brainmri): Epoch: 91, image auroc: 0.8764,
[2025-01-23 18:19:28,853][       train.py][line: 208][    INFO] (brainmri best): image auroc: 0.8913,
[2025-01-23 18:19:39,199][       train.py][line: 193][    INFO] (brainmri): Epoch: 92, image auroc: 0.8720,
[2025-01-23 18:19:39,199][       train.py][line: 208][    INFO] (brainmri best): image auroc: 0.8913,
[2025-01-23 18:19:49,448][       train.py][line: 193][    INFO] (brainmri): Epoch: 93, image auroc: 0.8181,
[2025-01-23 18:19:49,449][       train.py][line: 208][    INFO] (brainmri best): image auroc: 0.8913,
[2025-01-23 18:19:59,784][       train.py][line: 193][    INFO] (brainmri): Epoch: 94, image auroc: 0.8414,
[2025-01-23 18:19:59,784][       train.py][line: 208][    INFO] (brainmri best): image auroc: 0.8913,
[2025-01-23 18:20:05,057][       train.py][line: 271][    INFO] Epoch: [95/200]	Iter: [190/400]	Loss 0.79685 (0.76523)	
[2025-01-23 18:20:10,183][       train.py][line: 193][    INFO] (brainmri): Epoch: 95, image auroc: 0.8600,
[2025-01-23 18:20:10,184][       train.py][line: 208][    INFO] (brainmri best): image auroc: 0.8913,
[2025-01-23 18:20:20,479][       train.py][line: 193][    INFO] (brainmri): Epoch: 96, image auroc: 0.8486,
[2025-01-23 18:20:20,479][       train.py][line: 208][    INFO] (brainmri best): image auroc: 0.8913,
[2025-01-23 18:20:30,795][       train.py][line: 193][    INFO] (brainmri): Epoch: 97, image auroc: 0.8236,
[2025-01-23 18:20:30,796][       train.py][line: 208][    INFO] (brainmri best): image auroc: 0.8913,
[2025-01-23 18:20:41,073][       train.py][line: 193][    INFO] (brainmri): Epoch: 98, image auroc: 0.8417,
[2025-01-23 18:20:41,073][       train.py][line: 208][    INFO] (brainmri best): image auroc: 0.8913,
[2025-01-23 18:20:51,313][       train.py][line: 193][    INFO] (brainmri): Epoch: 99, image auroc: 0.8371,
[2025-01-23 18:20:51,313][       train.py][line: 208][    INFO] (brainmri best): image auroc: 0.8913,
[2025-01-23 18:20:56,479][       train.py][line: 271][    INFO] Epoch: [100/200]	Iter: [200/400]	Loss 0.79492 (0.76715)	
